path;sha256_anterior;sha256_atual
docs/06_CONFIGURACAO_E_SEGURANCA.md;90e51b94b69bd3cb496ebe81ad53522673aa7a0bc8284ff988aadd7d2f484a4e;975ddade8d3499943952ec6ad546cfb048bf3853f47c1ca4ed0f57fd911cd909
docs/Identidade Visual/Capa Linkedin - HIVE fundo branco 2.png;;cac510b60a8500425ae0a6a600967b76912e97fd3ac797823af09b9d58ed4668
docs/Identidade Visual/Capa Linkedin - HIVE fundo branco.png;;daac41f5ed6e9da3bb7d825313b31335610c2b7dccdc803bf9a6732db977eabd
docs/Identidade Visual/Capa Linkedin - HIVE fundo preto 2.png;;7c3cb874dd2092095904b464fc405c882491b710e10295f6d0ca8ff8005073ff
docs/Identidade Visual/Capa Linkedin - HIVE fundo preto.png;;35b08e5aa1b402c503a7ee4ef6ba71b0155c600948f4e7a1b5a2e80f377f3c5c
docs/Identidade Visual/README.md;;ea06dd65e6a44bd0ba77785024c46e0db2652a5e8e60dedf5e9ab26b7cca62cd
docs/reviews/2026-09-09-r4/00-LEIA-PRIMEIRO.md;;bc554899f644951c0afd1f236fa99767280d24e7bd4d9b8c75c9d58d738b3416
docs/reviews/2026-09-09-r4/01-RELATORIO-REVISAO.md;;f4ddc5dd11677641b166496578733e841eaddb0d44d71a1353c1a3ed36c73655
docs/reviews/2026-09-09-r4/02-BACKLOG-DE-CONCLUSAO.md;;c48896c24cd77125c675601f67742d13537a70f314059e45b06cd6434b26e670
docs/reviews/2026-09-09-r4/03-ARQUITETURA-E-DECISOES.md;;592bbbd670be647136656c2dacd9e99f7b2b5fafdbd61e81a6b293f2b72d8080
docs/reviews/2026-09-09-r4/04-GATES-E-EVIDENCIAS.md;;c6b145d855c9aead9ddd1cd366b80e7039135f6d0e803228f062c7cd0072d4fd
docs/reviews/2026-09-09-r4/05-INVENTARIO-696-CENARIOS-HERDADOS.csv;;a3ce00010d8c9aa59d0f95f64d900e7c38d8f4c513b1b301c939411ec19ffcf5
docs/reviews/2026-09-09-r4/06-INVENTARIO-189-REQUISITOS-HERDADOS.csv;;043452ac71b446220497a580d27a501a438f5aa79651bbf0cc6da4643a841b33
docs/reviews/2026-09-09-r4/07-REAVALIACAO-25-ACHADOS-R3.csv;;36746df6652e0d4d8ce9e3bf735dbda439ffe454dd6179710e80c319b5aba17c
docs/reviews/2026-09-09-r4/08-MATRIZ-732-CENARIOS-UNIAO.csv;;2b39a0befce5d9ddf52bbec00022ade845ef0de90b5716330d2f8f828f027093
docs/reviews/2026-09-09-r4/09-MATRIZ-12-ACHADOS-R4.csv;;ef7e5f5881bb226f9badea61f23ee5dcfaec8fd9f392c1f846aff36ec80efdfe
docs/reviews/2026-09-09-r4/10-REAVALIACAO-42-ACHADOS-R2.csv;;795d7879b1f8eb31d2094f1e8ad892fedeac3d69e7c3ce076b3ae6de4d0c6280
docs/reviews/2026-09-09-r4/11-MATRIZ-201-REQUISITOS-UNIAO.csv;;c2605e70b7976ee20b8345bfe8fece83e7395e13ff0a21bb7637da035ff1035f
docs/reviews/2026-09-09-r4/12-VALIDACAO-DO-PACOTE.md;;41c77f08bdc4b2f378277f8bb062c249c6e6dcefe24328f157aa0f06bec5da4f
docs/reviews/2026-09-09-r4/PROMPT_IMPLEMENTACAO_INTEGRAL_R4.md;;0be1904acb70ae7272eb3abe5ad793d2171188fbd2508b011ad01f81de8ba22b
docs/reviews/2026-09-09-r4/checksums.sha256;;e7595a40729cb7d6952eec6e5652b5e7c0b9d37e2446e2530877e08d2df142b3
docs/reviews/2026-09-09-r4/evidence/COMMANDS.md;;58df7bee7fa3acf5af2036e509671f3d78b15cc46fede6ac83556c5dc7662ed6
docs/reviews/2026-09-09-r4/evidence/DELTA-107-ARQUIVOS.csv;;5e530b0f5c93d98cae2a58bd2eda7b9fab0a4ed2c3b0e3e3b3a97abc2d9aa211
docs/reviews/2026-09-09-r4/evidence/FRONTEND-BUILD.md;;e297ca9a634e4352ddade033281ee0c90d20a40e9d8162fa36b3f7103df4025b
docs/reviews/2026-09-09-r4/evidence/MIGRATION-CHECKSUM.md;;75a661618505d3b7db667b3f50e1227963c9622882222b1ac9b2c0abf16c7763
docs/reviews/2026-09-09-r4/evidence/SNAPSHOT-SHA256.csv;;735f209ead4df6ecfb075a8d01fd6a364b0468e5f9996872fd8882cd58e32a3b
docs/reviews/2026-09-09-r4/evidence/changed-paths.txt;;27075089483ec45c8421eee2ca7976979871668e14ced0548ded274e7495e3c3
docs/reviews/2026-09-09-r4/evidence/contract-probes.log;;b4feb1b9e4f590995410220fa42a3ee9fccb816619fd17590ffc49376a61303e
docs/reviews/2026-09-09-r4/evidence/contract_probe_test.go;;e9e3a3062f5010618bf799fd8b2cc95bedb08bdca25586e4bdbb79345a622582
docs/reviews/2026-09-09-r4/evidence/go-race.jsonl;;fa471090be11a19870ac7e8ef5a69309d7752e5dcc84f4d2ce7af618d736e728
docs/reviews/2026-09-09-r4/evidence/go-race.stderr;;fb7852bbaef9ff809a6d4bd02f3591507f5c687c04470c41763d0635e9e267d8
docs/reviews/2026-09-09-r4/evidence/openspec-combined.json;;9ddc5f92ba4573aa3b759c248dc050951984634a056f80799a62db3fe3267058
docs/reviews/2026-09-09-r4/evidence/openspec-current.json;;e457a74843b43ff49070b2dc1b7b311bf7a73ddab6424ae9545c8ab11e8c5fc6
docs/reviews/2026-09-09-r4/evidence/openspec-r4.json;;d50d148d9f9da7de20055ac724a38ede3c668f3713a6d76383256a081c973cad
docs/reviews/2026-09-09-r4/evidence/openspec-strict-20260910.json;;1d6afb9b89755d37ec2cbfab4ac0704dd493d8ea92405c81ab7dad8614751643
docs/reviews/2026-09-09-r4/evidence/openspec-strict-20260911.json;;7ab4f2cedeab647541fbac0fe2373268d3aced84e54fb6f66638df03c04c99ba
docs/reviews/2026-09-09-r4/evidence/test-summary.json;;35ec084490a88026ea30cbfbed21c46a3d25008e94cfb077b756f12a4490edc9
docs/reviews/2026-09-09-r4/evidence/token-probe.log;;afe4b194892f08688249e4e3fb0ca18fe010b2640d8c37ee53bd8c262800d59c
docs/reviews/2026-09-09-r4/evidence/token_probe_test.go;;fa7cc616b5ced5a81b0e3527761b178cf6465d84add8c7d5269f6a9993740b0d
docs/reviews/2026-09-09-r4/implementation/CHECKPOINT.md;;4d2ef954dceb46fb0f5402fdeb8c7ca0d92eae789c03ae6383388df4b1e98e83
docs/reviews/2026-09-09-r4/implementation/COMPOSE-INTEGRATED.md;;531c562172c21679960fd7139f9f31656ca180695e8513e99b354b1ce90d5b4b
docs/reviews/2026-09-09-r4/implementation/DECISIONS_AND_BLOCKERS.md;;2ed9142bec6381aa39bf4f4f3155aac5205a67eb6afe385733377b2563f2cb59
docs/reviews/2026-09-09-r4/implementation/EVIDENCE_INDEX.md;;ad360514fa158ca0efe7ca56c7cd05a37e3843ccb12b256c62ebb3df9d58d1df
docs/reviews/2026-09-09-r4/implementation/EXECUTION-2026-09-10-SEQUENCE.md;;eb08ca866da58d510cd297bafcfff83c3be083e61bb61e79eba7422dbb064ecd
docs/reviews/2026-09-09-r4/implementation/EXECUTION-2026-09-10.md;;bdc3ef8ba2988aadc9d51dd9976a832a490adbbeea44f9ee11072d662975bb83
docs/reviews/2026-09-09-r4/implementation/EXECUTION_PLAN.md;;d0f14e94558647a44b1d0fa7f44d90d5a20275609fbf16e2f3090a3a2eb26f8a
docs/reviews/2026-09-09-r4/implementation/FINAL_REPORT.md;;33fae311ecaa584e48e9348602d2a47f614de2612ffd346fa2b9480c27360fb5
docs/reviews/2026-09-09-r4/implementation/FINDINGS_STATUS.md;;a6ce1be0c8039ae0d23c8a9b998c6cf86a5c2955510927c124d11bdd8dada98c
docs/reviews/2026-09-09-r4/implementation/INVENTORY-732-CENARIOS.csv;;c6875527581ee38d2adbe00205810a3927712ac2ed439900f771a05fbf2a66a0
docs/reviews/2026-09-09-r4/implementation/OPENSPEC-AUDIT-2026-09-10.md;;e8998bd1881dbcfdb19014a53d149008d90811220c4f761d567896f197297944
docs/reviews/2026-09-09-r4/implementation/REQUIREMENTS_STATUS.csv;;387e897a01c536fb7673bcd052899d54835482c31ee54ca2239e1650a8c2a6ce
docs/reviews/2026-09-09-r4/implementation/RESULT-MATRIX-732-CENARIOS.csv;;8bba9e1edf9725fcd44ecb559536b5ac8d1c0b826ce410a6f72b7613038b660a
