path;status;sha256_anterior;sha256_atual
AGENTS.md;MODIFIED;41e6c4dd444b339ce54d55197522ae53f53789a50d3457f800d3c3441e645143;159b0df4bf6569c266fc6fff69973f72621b58a3e0a68e951c7c90ef4e350cbb
hub/deploy/postgres-init/01-init.sh;MODIFIED;6d4f019809339a217237c83e08ec4c47903fc8bc882b051fe396d9d90bddebb0;ba2ac24df40e7d9097bcc4e9e6362e4a982844631231238d6475059afe7f9804
hub/internal/providerauth/client.go;MODIFIED;ef7b0e566843b621334ea2460ec0fc7e1e5b095bdfde111e7d917bdf615164c9;17e4bc68418201a2cb352dcb328a783f3a2c0b3b64df94cee8ffe3879f7d7e4e
hub/internal/orbita/admin.go;MODIFIED;407ef60147b9c208f6dbed7bb10ce645d94fe28be6e0ecd446c31889e823d182;b8f8b5eaf21c29a8ba374657a2edb6c65296b7cb0505b9288631909e626d3e61
hub/internal/atlas/publication_projection.go;MODIFIED;5c2a18cbfb2d6629b2425d53a71ff3edeca82c67aca8c0fb052ed29045ade1e6;d1e7677f24e1c3b8463693d14dab2fd299d1737729c40403fc76afa7794cabbc
hub/internal/atlas/handlers.go;MODIFIED;1259103819e18930e354498cfb8ba80df2fb8a55afd07ec5dd16e1f5a26fb54b;0cb418d8173832db133aa4eba064b1d3d75dd5f65193d7a4ac7d3879813d2cb8
hub/internal/atlas/offers.go;MODIFIED;ae6a11e094d1d2e4e032deae343d412ec2ae2e9473da9ebe77e1575503b0afc5;eb5be7297f59d6726b243a73862c9ee5ade85e89cbb56a38be9be919efd99dd7
hub/internal/atlas/catalog_test.go;MODIFIED;a881b6328bc1cf36ba1a4599d1d1268bad2ec18eff7348fea248e463fea723b5;28ab0779fbf85b0ecfc957720ae6453a65ef95ab51b9ae79baff3d919e019a2e
hub/internal/atlas/store.go;MODIFIED;e05ca905d2c0f7d4d9f8bcdf94c80f8739d0da158877670bd6778cc50a410418;f1dc7a71d859ddfe8498a6d479d9b09a85cbf5e0e2beb8fb080c93c69cac5586
hub/internal/atlasclient/client.go;MODIFIED;32f2bec3d36aeca36d1f5769a5be3e373b68c97ba42766126a54f3370a6d400f;3bd816cd2748aa41b99b6135fcace8a5088f588f4b1c2aadb7460613c7f4ccbf
hub/internal/cometa/executor.go;MODIFIED;6cadda7ffa7235c5e30c0ec30dce012a2ce046d4d30dabd0f600410767bc7a20;b044cb1e3bd32e94df0dd3b2d25f5b76503d9c1b3e1cc74861f155cfa252798a
hub/internal/cometa/poller.go;MODIFIED;a54360a544dddfc2dab22eca01d3ff27fa1950778ee84c9e461a9a4c9e5803e0;644be35715af606d23601c440a167e9d92071c9794656b1cc25f25509b2de47b
hub/internal/cometa/handlers.go;MODIFIED;86053b43b7a41405492fb82340b48a9b0f99d9798dd2e51f318617b79eae3539;6265ad0225d9035272af81954e09f9fa91802089470beaf41730ad357784d141
hub/internal/cometa/custody.go;MODIFIED;1909fa8fcd35c4923ca78e398b1596cfb6a099dc4cbe1ed310449313105ca478;71af392ea059d2a23f63a16af43c6e3ba5e214c139f996432877bf848c4e7ca4
hub/internal/cometa/custody_test.go;MODIFIED;23d9781ec32054617100cb978e1e90e5d07cba3dad24cc8b07cf983893bcce16;22460b8aed44c2d3a0e7f69ceb48b645db61960965ea5276522110174696bebd
hub/migrations/control/0002_provider_auth.sql;MODIFIED;37241e604376471efd7de394e9394673feaec0a32476a517c38363890dad1541;f4174fbf3e0157b42c8d8fbed0d92405337a9a3bd00647af2f9a52f4c4390fbb
hub/migrations/control/0004_provider_api_key.sql;ADDED;;068511cd748bbd03dbcd4b9f71042ba94c6b937b610e9217f972e6f83f0bfe6a
hub/migrations/core/0031_callback_custody.sql;ADDED;;0bea786f514fb76f36c193fbcffcf61cd9a4068f1eec5bd46261f75c17227bec
hub/migrations/core/0032_callback_inbox.sql;ADDED;;221629aa1c49f2755139c537da6bd6bbb4ba20727f52455713d457a5b798d238
openspec/changes/r3-01-custodia-e-integracao-externa/TRACEABILITY.md;ADDED;;c55ae36314351858d0330bf4625cd4a7f2dd5fc3faa02b15db8cbc82abe851fd
openspec/changes/r3-01-custodia-e-integracao-externa/explore.md;ADDED;;d385826cc4ab02ca0516044907aae2f60e2451a86f5c0a4603072e591bf2fa6d
openspec/changes/r3-01-custodia-e-integracao-externa/design.md;ADDED;;71499f8409f08f4b56e60e284c88ac03b2927a7eb945c123516199f1b7a503f6
openspec/changes/r3-01-custodia-e-integracao-externa/evaluator-checklist.md;ADDED;;c0a3fe4f9de3e092f5e5b7f1c6e7a357c9349de5d42b75b0a6236f81ee416e9d
openspec/changes/r3-01-custodia-e-integracao-externa/proposal.md;ADDED;;732e63f902d456f4c4d2e5f32835682671360f3614818f8f951fd0bd0118b13c
openspec/changes/r3-01-custodia-e-integracao-externa/tasks.md;ADDED;;c0e45cc4eba77c3f3e73624892bdbabeb65cbc80242759e57b41dc16a60bc928
openspec/changes/r3-01-custodia-e-integracao-externa/risk-matrix.md;ADDED;;5f5ce5829822f934b939c281e55bcb149a32406e0c9d49a2f26d23f35ae9e497
openspec/changes/r3-03-capacidade-credenciais-e-latencia/TRACEABILITY.md;ADDED;;18fd0de83634bfc1e741d2954b973c5a055a40970eaaef2014939cdb87340ecb
openspec/changes/r3-03-capacidade-credenciais-e-latencia/explore.md;ADDED;;a45ecf0551b6f11e89ed0100d8e72704bf33e3522b5ea8343febcc16f29bc681
openspec/changes/r3-03-capacidade-credenciais-e-latencia/design.md;ADDED;;77a30087e01301a911daf76654e0225d4b9b56982350976af8e378553286caf8
openspec/changes/r3-03-capacidade-credenciais-e-latencia/evaluator-checklist.md;ADDED;;c0a3fe4f9de3e092f5e5b7f1c6e7a357c9349de5d42b75b0a6236f81ee416e9d
openspec/changes/r3-03-capacidade-credenciais-e-latencia/proposal.md;ADDED;;ce8dce9b1dbd574557075f50424f3890969c7f988e14a159ac94b54858af16b1
openspec/changes/r3-03-capacidade-credenciais-e-latencia/tasks.md;ADDED;;0ded36307569070317c385b1a25c59963097ee0600bf09ec619727068dbb9ea4
openspec/changes/r3-03-capacidade-credenciais-e-latencia/risk-matrix.md;ADDED;;765ac2250d48bb6f5d1d4ab91b2a618d6fa367042b97df84a66c07c8f0a5d8df
openspec/changes/r3-05-financeiro-e-entregas/TRACEABILITY.md;ADDED;;fc7afb3509bb8b88360fa8faa26f3239edd7f51fd4f67a08e5ea45c284cf96df
openspec/changes/r3-05-financeiro-e-entregas/explore.md;ADDED;;4146d265608a5d51f5613906d2dd7daf99e94278b412d47930637df7e603cefe
openspec/changes/r3-05-financeiro-e-entregas/design.md;ADDED;;94dfea59b08ea4ec03fc5bc6be385f2f6f45c1dc77d9e70d7712aeecc0aa0b50
openspec/changes/r3-05-financeiro-e-entregas/evaluator-checklist.md;ADDED;;c0a3fe4f9de3e092f5e5b7f1c6e7a357c9349de5d42b75b0a6236f81ee416e9d
openspec/changes/r3-05-financeiro-e-entregas/proposal.md;ADDED;;3d9a3077412876fb3fd25dafd12769402018fcd989aa340617d0116b8cf868a7
openspec/changes/r3-05-financeiro-e-entregas/tasks.md;ADDED;;ba5b24604744d43c9f1c3962048830b4b5d7e4e94113e9a64d8c9059f1931a19
openspec/changes/r3-05-financeiro-e-entregas/risk-matrix.md;ADDED;;73a158af11b246d39b6807311cb9ef149b26a94a4c393e615a4a471c9c5749d9
openspec/changes/r3-04-console-e-autorizacao/TRACEABILITY.md;ADDED;;ea3a387d2c402b7ccd03acd65f00ec12ce94ab7c8f2ad8cfabc1f67ace11331c
openspec/changes/r3-04-console-e-autorizacao/explore.md;ADDED;;2867acabd60250d6523d0c5cf3b333a20c2bd144cabcbfb189e9a5b81b7e03d5
openspec/changes/r3-04-console-e-autorizacao/design.md;ADDED;;1bd5da1fca35e103b4a1cc82aeefc54ebcd96c1f35bf78758f6be4e6d28d01ea
openspec/changes/r3-04-console-e-autorizacao/evaluator-checklist.md;ADDED;;c0a3fe4f9de3e092f5e5b7f1c6e7a357c9349de5d42b75b0a6236f81ee416e9d
openspec/changes/r3-04-console-e-autorizacao/proposal.md;ADDED;;79fd6feed381f05445040045e1c5d41a524496eb3732bbac7f444fe5bfe9371e
openspec/changes/r3-04-console-e-autorizacao/tasks.md;ADDED;;8dc3b4649780aa49f897f425e8139ee5b2a73f2464e7cfb5e636e161807406c6
openspec/changes/r3-04-console-e-autorizacao/risk-matrix.md;ADDED;;7e69206f4a50b37cf6310899f09605016f60cf04f6d3a6351f58e59d009da3fb
openspec/changes/r3-07-qualificacao-integral/TRACEABILITY.md;ADDED;;088c2df6c2d835617aa43d2af7766f5e18706e1c87314ff6255756f87095e390
openspec/changes/r3-07-qualificacao-integral/explore.md;ADDED;;caffdba6c1bfe1556afe1edc0013a9b9cd34b953e2398d9a5b72fe0a2e16837e
openspec/changes/r3-07-qualificacao-integral/design.md;ADDED;;212b419064a6dcd49819ea87675773570d1fcd4fe7861d8e70bdc9546eb4d74e
