cenario_id;requisito;origem;titulo;spec;linha;scenario_digest;status_inicial;observacao
V4:ARQ-01:S001;ARQ-01;v4;Portal não orquestra nem precifica;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;8;1fa3e616c29f37aab9b296bca0e5143081a97e59b87ee7b481ca0ed1625091d1;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-01:S002;ARQ-01;v4;Órbita delega execução externa a Cometa sem manter segredos;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;13;e7474256318d59c68656afc023efef0e92a10f9260c39290f8c8a2f8d5b623fd;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-01:S003;ARQ-01;v4;Libra não infere consumo apenas de logs nem fatura todo evento técnico;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;18;51e2e953ff6f243e7b8426c6d910f2eb160c868cde43c6c1735c6cd590c28ec1;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-01:S004;ARQ-01;v4;Isolamento de adaptador ou temporizador apenas por critério explícito;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;23;991701c7b29af19e3b125214cba9e7197d80b23aa437d3796e9bfde43c9ed143;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-02:S001;ARQ-02;v4;SYNC persiste o fato externo via resposta HTTPS sem depender da fila;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;31;e3cc538d02dde3aaa8d7cc5ef98bd6ee92b48c300d1abef8bd1a99326460bc73;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-02:S002;ARQ-02;v4;ASYNC usa fila e mantém os mesmos invariantes com deduplicação de eventos posteriores;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;36;adffa2a871983ac0f43bc14a58a8e1b61295f5356840a17146ba507ddbdec5bf;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-02:S003;ARQ-02;v4;Cada domínio grava somente seu próprio estado no core compartilhado;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;41;03f8370aaa2e407cef3f01316f275cb9c528b13493a049ffc29bf977be71e72a;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-02:S004;ARQ-02;v4;Tráfego estabelecido não consulta Atlas/Crossplane a cada pedido;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;46;2c5142dcfe21b3d2337308e783ecc8a70246bdfd404e1df7f02b5e71c27f0ee3;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-03:S001;ARQ-03;v4;PostgreSQL é a escolha para o banco transacional por célula;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;54;fa67963d4c937d63c32035da28ff7d36d5291ec85704b4136662846ca9e23d40;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-03:S002;ARQ-03;v4;SNS + SQS Standard é a escolha para o barramento sem presumir ordem;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;59;2949e9d75944b7454731c11ddac71b3fccf29a81751f76545da8e1e1cd2e65e1;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-03:S003;ARQ-03;v4;Cache funciona e cumpre o SLO qualificado sem Redis;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;64;107f83dc281774f85d77e1904a5f623a17afb895df859f719689676b1c347cb1;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-03:S004;ARQ-03;v4;Operar sem serviços AWS exige nova decisão de arquitetura;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;69;fc68c01c751dbc7eba69c17d47af8a6f6203dcc94785a0e4526e4459b8d51f19;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-04:S001;ARQ-04;v4;Atlas API usa Go pela uniformidade de toolchain, não pela velocidade de CRUD;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;77;8f2d2bc89349bade4f55c797316edbd56474bd58d04ac732a9f824a8e72118bc;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
V4:ARQ-04:S002;ARQ-04;v4;Espera de rede suportada libera a thread, mas bloqueio evitável no caminho crítico é proibido;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;82;78ad7a91086463c8303f945168b0c203cc2c019dbf9cc44af7742792bd7fffb8;REVALIDAR_EVIDENCIA;Inventário não certifica execução.
