cenario_id;requisito;origem;titulo;spec;linha;scenario_digest;status_inicial;observacao
V4:ARQ-01:S001;ARQ-01;v4;Portal não orquestra nem precifica;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;8;db133d3d182af25924b7981621ea5d93ede33343932f815c1a0de8837fd46129;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-01:S002;ARQ-01;v4;Órbita delega execução externa a Cometa sem manter segredos;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;13;afa0433215a944824fc83982b27dc787d2a9d726d0b6c2e2ec88ddbc5859368d;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-01:S003;ARQ-01;v4;Libra não infere consumo apenas de logs nem fatura todo evento técnico;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;18;cf10f066de0329d02ce33a64a8e2d849afc0c7740e76d878ee5df1d139040a06;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-01:S004;ARQ-01;v4;Isolamento de adaptador ou temporizador apenas por critério explícito;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;23;574d4df897d56d04238eb69a6e0b2ceecff236f06f8c83b9c7374b364105d2fb;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-02:S001;ARQ-02;v4;SYNC persiste o fato externo via resposta HTTPS sem depender da fila;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;31;b859c55179734ae9aead04ccc6c439a5de6ceafa81488b74c557ce4c41a9b623;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-02:S002;ARQ-02;v4;ASYNC usa fila e mantém os mesmos invariantes com deduplicação de eventos posteriores;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;36;d3e03b9201401d3b0f773b8208ad6532bf32c0d1b324d78bddedb5a5a2de17e6;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-02:S003;ARQ-02;v4;Cada domínio grava somente seu próprio estado no core compartilhado;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;41;2ed005de2de79358e0385bcc57fa7102a26b5580ad954041056aabb260598236;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-02:S004;ARQ-02;v4;Tráfego estabelecido não consulta Atlas/Crossplane a cada pedido;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;46;1ed4e47f09f952d92d2ecc2ee4552fd0cada624c4761a7eab12f153889db37ea;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-03:S001;ARQ-03;v4;PostgreSQL é a escolha para o banco transacional por célula;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;54;452a888fb5fcc2e291862a174c92b77fbf37596bb328c32d22194e2cfa77b22c;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-03:S002;ARQ-03;v4;SNS + SQS Standard é a escolha para o barramento sem presumir ordem;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;59;1f0be2facf65ca9bde574895fe8c6e24572d34557381ad347b1212ce81af1844;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-03:S003;ARQ-03;v4;Cache funciona e cumpre o SLO qualificado sem Redis;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;64;079a06b8c3ec44cc5d0a5f87444f99a2e2501523432914e81e562cae190876e4;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-03:S004;ARQ-03;v4;Operar sem serviços AWS exige nova decisão de arquitetura;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;69;163dc9ab8a26b941801be8816ecc532809ef8ae175d90187e49d9e451a409cb9;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-04:S001;ARQ-04;v4;Atlas API usa Go pela uniformidade de toolchain, não pela velocidade de CRUD;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;77;e4bdedb266668d6e691ea62ca4b4b8e0becc19f87c79dc6365406fb82a6a46c6;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-04:S002;ARQ-04;v4;Espera de rede suportada libera a thread, mas bloqueio evitável no caminho crítico é proibido;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;82;f2b137c778f6c29b710492abd6410be0ad171b9b4ab131ee3b725e1fa79604ad;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-04:S003;ARQ-04;v4;Interface de Atlas em TypeScript/React não processa pedidos de clientes;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;87;03b51b06443ac2f5f4a39973da4f72f2c0e0d3c22581af2d8ba5cc6781372c5e;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-04:S004;ARQ-04;v4;Comparação de desempenho entre Go e outras linguagens exige equivalência de condições;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;92;dd3a14aff1f8d6e17503a6eb9d46d6855e95ca6cdef46e20bf5f3bffa8dd1ea7;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-05:S001;ARQ-05;v4;PostgreSQL compartilhado entre células é separado por célula;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;100;9982a6954f25ab99ec2e4a1e5bb57b593d7717645af113ef3afc24827c0e6898;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-05:S002;ARQ-05;v4;Dependência de produção exige versão fixada, plano de atualização, licença e proprietário;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;105;f2763dd9788ec32470326e159faf91091a2517acad930495b744154d6c8a255e;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-05:S003;ARQ-05;v4;Mesh ou Envoy não são adotados automaticamente para o controle adaptativo do Cometa;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;110;073f63284324647f48d116ce404bef8b6352209a37ceb7f31cc4e1917792cb95;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-05:S004;ARQ-05;v4;Traces do OpenTelemetry/Tempo não servem como fonte contábil ou única evidência de SLA;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;115;b4c9ca5c7992852721d98305caa64fba4e3a33edc4979c98eecd36ca72f70ad2;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-06:S001;ARQ-06;v4;KEDA é o único proprietário do HPA de um Deployment de worker;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;123;b2ccbab63057c42c49e9a1be84096a2f0ae6a2d5c0e13300eceae6139122cbee;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-06:S002;ARQ-06;v4;Crossplane reconcilia recursos mas não decide quando expandir;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;128;94e75ee74521f53b162237710903e2eab1908977a240949366efcbcb9f48fcae;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-06:S003;ARQ-06;v4;Redução de pods ou nós não apaga dados protegidos;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;133;e790880f41fb0d2f194655dd3dc91b28a1711b4be47be48e706eecbcfd3c4c1f;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:ARQ-06:S004;ARQ-06;v4;Perda do plano de gestão impede novas expansões mas não desliga células prontas;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;138;b19fd4f7fc8ae3c5a3a1b208db32eaccee2b981f0c33028bbb51fe938e236f04;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:COM-01:S001;COM-01;v4;SYNC entre Órbita e Cometa dispensa broker no percurso obrigatório;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;146;4f11355afbd9cafca691124e44bef402e6af8c693e9977dfa3dbbe67b9ffc673;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:COM-01:S002;COM-01;v4;Retorno HTTP interno perdido não autoriza nova operação;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;151;7201b95fc0c9e5f1f73e9b37d270951dbf2488fa9422cbc537cf7262b77fb4c3;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:COM-01:S003;COM-01;v4;gRPC e request/reply sobre broker não são adotados como padrão do caminho SYNC;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;156;8ffcf10bb2c3724280a31fe60f111c43a451c3926e95db09d8f92d9fe2d0e621;REVALIDAR_PROVA;Inventário não é resultado de execução.
V4:COM-01:S004;COM-01;v4;Pulsar consulta Órbita por HTTPS autenticado sem acesso direto ao banco;openspec/changes/hub-interoperabilidade-v4/specs/arquitetura-e-comunicacao/spec.md;161;2f6ad7ffda86707c0cd612b89b212dd7fe468ac51a7cb27fb6ce39b94e969c00;REVALIDAR_PROVA;Inventário não é resultado de execução.
